id,tested_positive
0,20.296972
1,19.4832
2,17.007801
3,35.480827
4,9.016235
5,32.644867
6,10.635423
7,36.15586
8,27.71738
9,16.896294
10,9.311129
11,15.317179
12,14.316985
13,10.141103
14,8.0196
15,21.804453
16,25.411669
17,36.827805
18,15.22016
19,12.875905
20,11.608474
21,21.539186
22,19.629938
23,16.45847
24,26.898317
25,45.114582
26,36.192924
27,6.720136
28,16.047457
29,19.926064
30,6.900009
31,16.361818
32,13.270916
33,8.819147
34,21.458563
35,12.2666855
36,16.332357
37,15.8104515
38,7.1716146
39,15.517266
40,7.01915
41,37.425213
42,13.724082
43,22.812506
44,25.065561
45,17.73456
46,6.891995
47,28.794395
48,41.134567
49,13.866452
50,17.126127
51,9.835791
52,14.684443
53,30.838377
54,8.082719
55,30.353739
56,24.654917
57,28.910181
58,23.530323
59,13.171938
60,15.985112
61,23.840015
62,9.207501
63,10.40342
64,12.191804
65,12.375162
66,16.385534
67,6.306074
68,7.4318533
69,23.862816
70,12.521258
71,22.519772
72,12.550471
73,25.703562
74,8.150784
75,19.246754
76,5.9212885
77,12.184491
78,31.594687
79,10.251723
80,37.286964
81,15.831651
82,5.8452735
83,8.799688
84,30.158686
85,6.9746995
86,15.381704
87,11.156321
88,7.979121
89,19.290462
90,21.039785
91,35.283092
92,34.660164
93,22.14537
94,16.04995
95,41.978683
96,8.006687
97,12.156707
98,9.4426775
99,11.698966
100,22.396898
101,15.753739
102,15.556074
103,17.69397
104,16.815508
105,17.901062
106,13.981204
107,32.693333
108,12.801026
109,27.121334
110,10.694219
111,14.393025
112,34.853714
113,25.432066
114,30.402443
115,6.701671
116,12.796702
117,6.777055
118,7.4770617
119,11.548812
120,25.930239
121,19.411493
122,12.833491
123,15.245667
124,9.858702
125,5.6706743
126,37.615417
127,9.131139
128,28.305511
129,39.476078
130,21.866009
131,26.050577
132,7.181568
133,11.448514
134,6.685788
135,16.292427
136,15.265523
137,16.67107
138,24.537207
139,22.786074
140,20.656397
141,21.20986
142,36.910904
143,8.5497265
144,12.780738
145,13.431137
146,41.685844
147,39.241096
148,33.768055
149,18.132978
150,12.965603
151,38.329323
152,26.67776
153,6.9768214
154,4.908745
155,11.031892
156,13.402815
157,15.880469
