id,tested_positive
0,17.262072
1,29.570465
2,16.959824
3,44.889683
4,23.103943
5,18.611536
6,9.564098
7,16.431387
8,12.552454
9,16.382343
10,10.420498
11,18.431055
12,17.076496
13,36.973488
14,4.512643
15,18.412962
16,6.2871723
17,9.678892
18,14.413361
19,10.778329
20,17.470055
21,13.563711
22,36.08671
23,6.6468625
24,38.30188
25,27.197706
26,9.454189
27,15.078093
28,33.375015
29,39.994923
30,14.734408
31,36.99315
32,11.41349
33,12.223193
34,10.995479
35,20.843899
36,22.28492
37,14.709669
38,11.559397
39,38.26041
40,15.666077
41,26.31419
42,5.2124343
43,10.218679
44,6.7055774
45,31.676075
46,29.190428
47,27.140472
48,37.56099
49,34.393284
50,6.8851647
51,38.629112
52,34.60663
53,35.002552
54,8.836105
55,11.919923
56,16.3528
57,11.780907
58,11.423134
59,17.06362
60,8.731946
61,9.012897
62,29.25121
63,5.769353
64,13.1013365
65,10.836998
66,5.825948
67,6.82323
68,15.52197
69,24.098103
70,8.477007
71,12.894661
72,9.199809
73,40.836452
74,7.3263774
75,33.33631
76,11.68953
77,14.959614
78,27.978199
79,14.119812
80,24.254593
81,8.827817
82,8.527777
83,9.306213
84,20.588
85,11.374207
86,17.163235
87,19.748795
88,19.026382
89,21.678669
90,27.388372
91,32.321514
92,7.810542
93,5.80613
94,6.5418854
95,15.423162
96,29.549137
97,17.809212
98,8.59957
99,15.381326
100,21.977415
101,26.437153
102,6.384098
103,6.8995166
104,6.7049336
105,12.929382
106,14.610641
107,14.503889
108,5.1889987
109,11.256534
110,12.417066
111,7.6484504
112,13.84091
113,5.276509
114,8.304275
115,10.066138
116,9.742286
117,10.671796
118,11.101941
119,5.5271115
120,15.42997
121,31.050467
122,30.235641
123,28.253687
124,17.524216
125,23.91624
126,11.718148
127,12.106915
128,30.296345
129,7.66505
130,17.261211
131,22.526535
132,12.036324
133,16.273964
134,6.3839684
135,28.047031
136,15.419311
137,8.524006
138,16.369793
139,6.7015886
140,27.617231
141,32.046597
142,41.23705
143,14.440504
144,5.510894
145,15.037589
146,17.553955
147,19.688007
148,7.553762
149,6.8956475
150,18.389801
151,23.273666
152,14.469558
153,12.788309
154,31.219086
155,16.538757
156,36.238377
157,7.205075
158,36.186954
159,28.82457
160,15.121309
161,6.384125
162,7.6344013
163,13.86815
164,22.72265
165,15.502864
166,8.286478
167,37.180832
168,30.881382
169,17.501408
170,37.10029
171,14.681142
172,13.089553
173,24.293518
174,15.774965
175,13.821223
176,12.883821
177,5.628863
178,40.473404
179,17.282583
180,14.129077
181,36.807487
182,41.143383
183,41.182884
184,37.471943
185,8.146854
186,31.65026
187,14.703251
188,33.261753
189,13.917316
190,8.953585
191,13.239183
192,7.523687
193,7.143893
194,8.8023815
195,5.4789095
196,8.7489605
197,22.122892
198,29.64692
199,17.028374
200,10.180245
201,7.641095
202,25.846245
203,9.178284
204,7.748058
205,26.257875
206,6.0083265
207,35.739582
208,12.009199
209,32.772675
210,10.765695
211,8.956482
212,12.366026
213,25.483883
214,21.970514
215,23.243828
216,30.260994
