id,tested_positive
0,15.199049
1,14.635974
2,14.154242
3,13.897532
4,13.504623
5,12.786952
6,12.705581
7,12.582262
8,12.8371315
9,12.616846
10,12.149623
11,11.96938
12,12.104124
13,11.0908
14,11.249985
15,11.169022
16,10.724153
17,10.671261
18,10.433292
19,10.059829
20,10.626808
21,10.489778
22,10.573699
23,11.074806
24,11.178866
25,11.14378
26,11.023898
27,10.655994
28,10.316568
29,10.214944
30,10.071964
31,9.898086
32,9.547294
33,10.009024
34,10.5205765
35,10.198391
36,9.523603
37,8.966351
38,8.724855
39,8.900294
40,8.831586
41,8.549294
42,8.451363
43,8.685089
44,9.106667
45,9.3932295
46,10.038871
47,10.2976465
48,10.358267
49,10.383537
50,10.573265
51,10.797581
52,11.568732
53,11.359724
54,10.722534
55,10.604598
56,10.388687
57,10.783039
58,10.853828
59,10.008296
60,9.742286
61,9.837883
62,10.027403
63,10.231553
64,9.669344
65,9.354009
66,9.751428
67,9.813608
68,9.6708145
69,9.660821
70,9.911017
71,10.218679
72,10.317305
73,10.112628
74,9.948519
75,10.613971
76,11.151403
77,11.854522
78,11.897064
79,12.07432
80,12.199604
81,12.590088
82,12.88558
83,13.382668
84,14.097105
85,15.25946
86,16.340271
87,18.588778
88,12.771929
89,12.417066
90,12.377249
91,11.973934
92,12.029395
93,11.538323
94,11.224033
95,10.875948
96,10.7850685
97,10.694767
98,10.729505
99,11.418672
100,12.512591
101,12.809128
102,12.675437
103,12.8902025
104,12.794713
105,12.940342
106,12.411484
107,11.612113
108,11.228935
109,11.156431
110,11.04225
111,11.598616
112,12.045833
113,12.513027
114,13.244402
115,13.705384
116,14.469558
117,15.168875
118,15.485815
119,15.774965
120,16.014217
121,16.306158
122,16.775612
123,16.349195
124,15.799142
125,15.52197
126,15.44887
127,15.42997
128,15.098125
129,14.851153
130,15.372781
131,16.155325
132,16.664158
133,16.471798
134,16.120543
135,16.090195
136,15.876825
137,15.666077
138,15.5077915
139,15.235352
140,15.774659
141,16.346025
142,16.800209
143,17.438534
144,17.667303
145,17.761757
146,18.173681
147,18.94829
148,19.054546
149,18.389801
150,18.045883
151,17.803068
152,17.524014
153,17.524216
154,16.499794
155,16.313013
156,16.557173
157,16.538757
158,16.641504
159,16.545399
160,15.861172
161,15.517418
162,15.273534
163,14.80031
164,14.580036
165,14.796833
166,14.766158
167,14.637513
168,14.727551
169,14.135937
170,14.628406
171,14.959614
172,14.91386
173,14.872865
174,15.1711855
175,15.490078
176,6.590496
177,6.3856273
178,6.391903
179,6.441778
180,6.2573333
181,6.2308393
182,6.191455
183,6.029872
184,6.0380325
185,5.9848886
186,5.95752
187,5.977403
188,5.825948
189,5.769353
190,5.663548
191,5.8203273
192,5.8175716
193,5.8189807
194,6.047336
195,6.103428
196,6.384125
197,6.8851647
198,6.8607655
199,6.896739
200,6.951761
201,7.0368676
202,7.2232265
203,7.022884
204,6.8183293
205,6.9206777
206,6.9423723
207,6.884042
208,6.6330576
209,6.7015886
210,6.8972607
211,7.0447226
212,7.0284824
213,6.914327
214,7.0736165
215,7.317353
216,7.1669955
217,6.9679413
218,6.7120647
219,6.762552
220,6.7172294
221,6.524668
222,6.2871723
223,6.309211
224,6.347759
225,6.431792
226,6.403946
227,6.444679
228,6.413672
229,6.418092
230,6.1906066
231,6.1035366
232,5.8128324
233,5.3322177
234,5.2110553
235,5.1861815
236,5.109017
237,5.1414185
238,5.178309
239,5.276509
240,5.5271115
241,5.7326474
242,5.781633
243,5.8280654
244,5.8791776
245,5.9153547
246,5.991198
247,6.09238
248,6.1500783
249,6.2077265
250,6.3017626
251,6.386231
252,6.4030633
253,6.461769
254,6.465263
255,6.4211864
256,6.6396155
257,6.799289
258,6.934534
259,7.185952
260,7.4580607
261,7.6935334
262,8.322331
