id,tested_positive
0,28.103024
1,17.173111
2,34.815437
3,24.426003
4,16.70743
5,10.106502
6,28.339287
7,7.361408
8,9.988736
9,12.929677
10,27.618448
11,8.2516575
12,12.643201
13,14.707944
14,32.22586
15,19.07344
16,10.120035
17,9.689026
18,13.685735
19,20.748356
20,27.508717
21,20.352087
22,13.505225
23,30.380934
24,25.259325
25,29.783745
26,8.050821
27,7.99265
28,9.697395
29,16.62426
30,21.81405
31,10.281208
32,20.662918
33,10.77206
34,16.350142
35,15.000229
36,15.924998
37,24.791761
38,11.406429
39,13.677081
40,18.702505
41,13.754451
42,36.35927
43,19.321543
44,10.771679
45,10.354825
46,20.543936
47,19.891655
48,30.523176
49,32.386597
50,8.517638
51,10.547215
52,6.0845623
53,27.774763
54,15.509431
55,17.575287
56,12.639052
57,9.794667
58,8.154614
59,13.78317
60,12.338113
61,10.448937
62,24.353224
63,27.372639
64,9.374414
65,10.071259
66,29.172482
67,7.197236
68,10.042414
69,22.61766
70,15.643721
71,13.234151
72,20.725386
73,19.797146
74,28.321497
75,14.821661
76,13.776506
77,8.524408
78,15.12729
79,24.647976
80,14.146684
81,5.6380167
82,9.961734
83,15.651889
84,17.270708
85,16.421558
86,32.78629
87,11.021858
88,22.569471
89,17.695604
90,2.9106708
91,17.242517
92,7.072629
93,6.4272203
94,9.584114
95,12.899423
96,7.797002
97,5.4987593
98,31.084545
99,9.681707
100,9.516994
101,20.211826
102,18.211765
103,16.468847
104,9.127346
105,7.21765
106,33.84353
107,10.396198
108,15.270322
109,8.861054
110,26.236544
111,28.415562
112,9.915627
113,17.791765
114,8.469412
115,27.783363
116,27.242613
117,11.881026
118,7.8176975
119,24.47758
120,4.647059
121,28.864944
122,24.411251
123,10.43151
124,9.03826
125,16.51774
126,5.321482
127,31.565235
128,11.439325
129,15.0493765
130,7.198267
131,24.951717
132,14.387239
133,14.004399
134,17.833715
135,18.422049
136,11.02167
137,5.3005066
138,14.135424
139,22.899595
140,7.6485634
141,16.740013
142,7.109456
143,25.780445
144,8.129641
145,8.72766
146,29.553015
147,10.479479
148,32.242065
149,14.171645
150,10.864299
151,15.002623
152,14.454895
153,19.343319
154,9.761164
155,8.289316
156,12.012808
157,14.869903
158,9.370859
159,5.9949236
160,20.38409
161,27.679893
162,11.041752
163,9.490574
164,32.035954
165,14.993091
166,9.187094
167,30.001776
168,15.815906
169,14.7998905
170,26.572449
171,16.6953
172,12.241324
173,21.424932
174,31.596497
175,8.468912
176,12.26449
177,8.220764
178,9.903549
179,16.426632
180,21.128643
181,28.976427
182,20.894106
183,16.53784
184,10.874804
185,9.600867
186,9.454766
187,12.526979
188,13.176069
189,8.157678
190,11.183992
191,10.259611
192,22.496277
193,9.35116
194,16.646015
195,31.680109
196,33.6439
197,15.4114895
198,12.401031
199,17.6384
200,13.5651245
201,24.21526
202,23.739876
203,6.8082237
204,12.626521
205,14.410888
206,22.563087
207,18.517052
208,15.5370035
209,7.963725
210,22.31804
211,14.477603
212,10.941297
213,16.779032
214,19.763968
215,6.378237
216,10.064036
217,7.5660367
218,30.414795
219,17.05414
220,6.8958244
221,24.439472
222,11.655768
223,10.453407
224,13.16967
225,6.8377156
226,31.52921
227,7.5684004
228,5.8843417
229,12.563877
230,8.516141
231,27.87094
232,21.580538
233,28.595194
234,17.29642
235,9.646173
236,8.505676
237,18.020838
238,9.676786
239,4.4908257
240,12.3489685
241,35.34249
242,20.214256
243,8.889163
244,13.140854
245,13.475717
246,5.0511217
247,12.900456
248,14.4756565
249,6.601981
250,35.432194
251,7.2070045
252,10.852274
253,14.453792
254,12.514357
255,35.652493
256,9.565175
257,16.669516
258,16.92816
259,10.651147
260,9.550566
261,10.951538
262,10.879555
263,16.486357
264,6.621074
265,13.753383
266,16.653965
267,13.540246
268,34.18311
269,24.991081
270,16.31269
271,17.472904
272,19.277073
273,15.56492
274,12.780707
275,19.108652
276,6.160733
277,11.555299
278,13.911667
279,9.197214
280,17.652315
281,24.47399
282,10.489861
283,38.810898
284,21.845377
285,6.4154835
286,27.711535
287,30.861227
288,19.666147
289,13.146493
290,6.895914
291,16.985851
292,6.853755
293,9.157519
294,28.597662
295,11.298038
296,8.457103
297,10.155607
298,28.04815
299,12.239125
300,27.324722
301,32.155178
302,8.410263
303,22.046713
304,9.941168
305,19.910086
306,14.661381
307,5.292653
308,16.134153
309,38.56614
310,12.201102
311,11.53835
312,20.170265
313,13.69104
314,10.029424
315,15.221916
316,11.677128
317,24.007263
318,28.535677
319,7.998333
320,10.039457
321,9.080688
322,8.093803
323,7.577461
324,5.000144
325,7.47283
326,12.873435
327,12.994918
328,12.563586
329,19.979168
330,15.715872
331,9.233678
332,11.857306
333,7.2846174
334,11.115333
335,14.508104
336,13.4412565
337,37.05885
338,8.79986
339,16.760672
340,27.596182
341,11.2507105
342,13.591691
343,16.803339
344,13.6062155
345,8.990291
346,10.008519
347,26.553703
348,12.501524
349,10.336608
350,6.750377
351,9.20115
352,18.915865
353,12.652227
354,13.669482
355,6.536602
356,6.409794
357,9.097091
358,18.201883
359,27.034468
360,21.972618
361,10.887246
362,4.907811
363,14.887229
364,10.340905
365,14.660364
366,9.460291
367,33.11502
368,12.252054
369,25.92654
370,22.800747
371,8.040657
372,34.507378
373,7.63055
374,12.691239
375,9.444491
376,8.779557
377,22.587248
378,10.065448
379,14.964665
380,19.722603
381,17.604996
382,8.86613
383,21.22041
384,12.418504
385,8.314868
386,12.895776
387,8.972971
388,10.72265
389,17.02326
390,7.7661705
391,12.741275
392,23.721058
393,17.932943
394,17.240437
395,24.293737
396,26.038422
397,15.294915
398,17.808712
399,14.565116
400,8.580677
401,19.054695
402,18.42708
403,12.41567
404,33.062595
405,14.945225
406,10.585617
407,20.323282
408,20.40524
409,8.597232
410,17.830502
411,8.019616
412,14.420587
413,12.587719
414,14.494679
415,9.678449
416,11.354058
417,15.284964
418,10.073037
419,8.006866
420,19.345678
421,15.339237
422,13.573076
423,34.41601
424,17.46227
425,5.072084
426,28.836712
427,16.613897
428,31.21897
429,11.328039
430,13.296904
431,34.171783
432,14.562062
433,30.20168
434,11.99543
435,10.372237
436,27.576122
437,7.9627514
438,7.721513
439,17.308529
440,12.248759
441,13.287819
442,10.572159
443,12.3265295
444,30.877283
445,17.018654
446,30.584322
447,26.967958
448,7.4190483
449,32.895237
450,26.718523
451,30.92074
452,10.4386
453,9.096291
454,12.111715
455,15.896987
456,27.307644
457,10.50773
458,10.310484
459,7.54697
460,14.017103
461,11.27539
462,8.583616
463,11.828197
464,17.27775
465,16.11022
466,24.903833
467,20.579082
468,11.128434
469,25.366615
470,19.11121
471,23.599714
472,16.13377
473,14.051406
474,17.223032
475,9.302594
476,14.366333
477,8.750871
478,19.392588
479,15.038628
480,5.0470247
481,11.829053
482,29.491821
483,9.375596
484,19.237059
485,12.040485
486,18.959051
487,25.339045
488,14.957733
489,17.51001
490,9.531482
491,30.326954
492,10.328007
493,6.5605645
494,31.277712
495,9.665147
496,10.983127
497,14.069955
498,12.131051
499,25.705357
500,28.597197
501,17.10063
502,25.027136
503,32.49732
504,31.527773
505,35.398777
506,16.768608
507,8.622846
508,22.858618
